Gene	sgRNA	mock_day12|beta	mock_day12|z	mock_day12|p-value	mock_day12|fdr	mock_day12|wald-p-value	mock_day12|wald-fdr	myci_Day12|beta	myci_Day12|z	myci_Day12|p-value	myci_Day12|fdr	myci_Day12|wald-p-value	myci_Day12|wald-fdr	z_Difference	beta_difference
Ubiad1	5	-0.80071	-2.27	0.044338	0.35471	0.023206	0.22283	-1.254	-3.5356	0.0050863	0.089189	0.00040687	0.0080892	-1.2656	-0.45329
Eif4a1	5	-2.1183	-4.6934	0	0	2.69E-06	0.00020197	-2.5714	-5.6029	0	0	2.11E-08	1.28E-05	-0.9095	-0.4531
Mtif2	5	-0.93598	-3.1406	0.023325	0.24527	0.0016859	0.026311	-1.3885	-4.647	0.0022092	0.049711	3.37E-06	0.00025119	-1.5064	-0.45252
Ube2v1	1	0.22551	0.82688	0.51012	0.92321	0.40831	0.81421	-0.22298	-0.81763	0.49558	0.93262	0.41357	0.78837	-1.64451	-0.44849
Adck4	5	-1.0667	-2.8625	0.012485	0.16508	0.0042031	0.055201	-1.5092	-4.0189	0.0013358	0.037572	5.85E-05	0.0018563	-1.1564	-0.4425
Zfp808	1	0.17704	0.4686	0.61976	0.95913	0.63936	0.89439	-0.25538	-0.67598	0.45016	0.92026	0.49905	0.82565	-1.14458	-0.43242
Ndufaf6	5	-0.73624	-2.6168	0.06155	0.41568	0.0088769	0.10236	-1.1602	-4.1115	0.0079634	0.11932	3.93E-05	0.0013636	-1.4947	-0.42396
Gtpbp3	5	-0.50124	-2.0699	0.18465	0.67952	0.038462	0.33122	-0.92	-3.7903	0.02538	0.26193	0.00015049	0.0037796	-1.7204	-0.41876
Mrps5	5	-1.2434	-3.7182	0.0049322	0.086878	0.00020065	0.0047803	-1.6598	-4.9557	0.00046239	0.016981	7.21E-07	0.00010273	-1.2375	-0.4164
Ndufb8	5	-0.50622	-1.9862	0.18059	0.67119	0.047015	0.38417	-0.92132	-3.6102	0.025226	0.26145	0.00030597	0.0064875	-1.624	-0.4151
Ndufaf2	5	-0.043752	-0.33796	0.99157	0.99969	0.7354	0.92305	-0.4585	-3.5383	0.21614	0.73127	0.00040268	0.0080388	-3.20034	-0.414748
Ndufv2	5	-0.45438	-1.9709	0.22529	0.7336	0.048737	0.3946	-0.86756	-3.7558	0.032624	0.30209	0.00017279	0.0042252	-1.7849	-0.41318
Mrps23	5	-0.34268	-1.4084	0.33981	0.84481	0.15903	0.71189	-0.75338	-3.0897	0.055693	0.40044	0.0020033	0.029099	-1.6813	-0.4107
Timmdc1	5	-0.69038	-2.5489	0.077117	0.46413	0.010805	0.11997	-1.0987	-4.0443	0.010378	0.14245	5.25E-05	0.0017126	-1.4954	-0.40832
Gm10644	1	0.62038	0.80116	0.062423	0.41983	0.42304	0.81859	0.21433	0.27679	0.53648	0.94695	0.78194	0.93138	-0.52437	-0.40605
Ndufc1	5	-0.58303	-2.1105	0.12911	0.58016	0.034813	0.30969	-0.98831	-3.5716	0.019318	0.22249	0.00035481	0.0072829	-1.4611	-0.40528
Ndufs8	5	-0.96531	-2.9162	0.020551	0.2274	0.0035432	0.048126	-1.3687	-4.1291	0.0026202	0.056541	3.64E-05	0.001303	-1.2129	-0.40339
Lipt1	5	-1.108	-3.5837	0.01007	0.14307	0.00033871	0.0071659	-1.5106	-4.8784	0.001233	0.035242	1.07E-06	0.00011964	-1.2947	-0.4026
Copb1	5	-1.1121	-2.8028	0.009813	0.14023	0.0050667	0.064415	-1.5144	-3.8043	0.001233	0.035242	0.00014221	0.0036277	-1.0015	-0.4023
Ndufb4	5	-0.88883	-2.7592	0.029644	0.28438	0.005794	0.071512	-1.2902	-3.976	0.0038533	0.072745	7.01E-05	0.0021214	-1.2168	-0.40137
Scfd1	5	-1.482	-3.361	0.0014386	0.037037	0.00077663	0.014249	-1.8767	-4.1948	0	0	2.73E-05	0.0010568	-0.8338	-0.3947
Ndufb5	5	-0.74589	-2.5533	0.058159	0.40113	0.010671	0.1188	-1.1404	-3.8984	0.0084772	0.12406	9.68E-05	0.0027121	-1.3451	-0.39451
Rtn4ip1	5	-1.0406	-3.1305	0.014899	0.18807	0.0017449	0.026997	-1.433	-4.3012	0.0019009	0.045455	1.70E-05	0.00077804	-1.1707	-0.3924
Ndufab1	5	-1.9982	-4.3502	5.14E-05	0.0028249	1.36E-05	0.00063635	-2.3902	-5.1873	0	0	2.13E-07	4.47E-05	-0.8371	-0.392
Slc2a1	5	-1.1467	-3.5682	0.0085799	0.12876	0.00035938	0.0075359	-1.5382	-4.7757	0.0011303	0.033333	1.79E-06	0.00016737	-1.2075	-0.3915
Coq5	5	-0.38841	-1.7015	0.28786	0.8026	0.088848	0.57954	-0.77983	-3.4119	0.04963	0.37942	0.00064503	0.011636	-1.7104	-0.39142
Rps17	1	-3.4534	-2.7469	0.0067304	0.10703	0.0060162	0.073927	-3.8442	-3.0585	0.0036991	0.071856	0.0022244	0.031836	-0.3116	-0.3908
Ndufaf4	5	-0.62672	-2.0601	0.10568	0.53596	0.039385	0.3374	-1.017	-3.333	0.016492	0.2005	0.00085917	0.014711	-1.2729	-0.39028
Mrps25	5	-1.4463	-3.4332	0.0018496	0.045	0.00059646	0.011483	-1.8364	-4.3213	0.00010275	0.0053476	1.55E-05	0.00073292	-0.8881	-0.3901
Rpsa	5	-2.4104	-4.9049	0	0	9.35E-07	9.78E-05	-2.8003	-5.578	0	0	2.43E-08	1.32E-05	-0.6731	-0.3899
Rps15	1	-2.7018	-2.2888	0.022092	0.2381	0.02209	0.21434	-3.0906	-2.6186	0.011971	0.1584	0.0088285	0.097969	-0.3298	-0.3888
Gpr89	5	-0.8417	-2.2849	0.036375	0.31735	0.02232	0.21625	-1.2249	-3.3012	0.0057028	0.095855	0.00096269	0.016087	-1.0163	-0.3832
4930522L14Rik	2	0.23126	0.5631	0.32594	0.83427	0.57337	0.86915	-0.14936	-0.36366	0.60676	0.96568	0.71611	0.90704	-0.92676	-0.38062
Ybey	5	-1.3778	-3.8543	0.0025175	0.054384	0.00011605	0.0030985	-1.7578	-4.8974	0.00035964	0.015909	9.71E-07	0.00011384	-1.0431	-0.38
Sys1	5	-1.8673	-4.5361	0.00010275	0.0053191	5.73E-06	0.00034208	-2.2473	-5.3801	0	0	7.44E-08	2.65E-05	-0.844	-0.38
Ndufa10	5	-0.79163	-2.9628	0.046547	0.36349	0.0030485	0.042493	-1.1692	-4.3646	0.0077579	0.11724	1.27E-05	0.00064541	-1.4018	-0.37757
1700018F24Rik	1	0.039889	0.082374	0.96321	0.99926	0.93435	0.98235	-0.33699	-0.69594	0.35974	0.86923	0.48646	0.8205	-0.778314	-0.376879
Cox10	5	-0.40783	-1.4594	0.26814	0.78642	0.14444	0.69027	-0.78412	-2.7957	0.048551	0.37876	0.0051789	0.062805	-1.3363	-0.37629
Ept1	5	0.23104	1.4105	0.10954	0.5455	0.15839	0.7112	-0.14369	-0.87697	0.67432	0.97887	0.3805	0.77812	-2.28747	-0.37473
Hspa9	5	-2.0137	-3.9981	5.14E-05	0.0028249	6.39E-05	0.0019896	-2.3877	-4.7268	0	0	2.28E-06	0.00019416	-0.7287	-0.374
Slc10a7	5	0.18347	0.85746	0.19955	0.70375	0.39119	0.80713	-0.1882	-0.87916	0.57665	0.95922	0.37932	0.77747	-1.73662	-0.37167
Arl1	5	-0.70531	-2.2381	0.071979	0.44791	0.025214	0.23766	-1.0757	-3.4089	0.011971	0.1584	0.00065213	0.011699	-1.1708	-0.37039
Apol9a	1	0.75827	0.64236	0.028566	0.27684	0.52064	0.85179	0.39024	0.33058	0.24974	0.7728	0.74096	0.91583	-0.31178	-0.36803
Tmed2	5	-0.5257	-2.0066	0.16564	0.64863	0.044791	0.37083	-0.89267	-3.3957	0.028411	0.27817	0.00068465	0.012226	-1.3891	-0.36697
Slc25a46	5	-0.0168	-0.094854	0.90942	0.99747	0.92443	0.97967	-0.38334	-2.1614	0.2872	0.81102	0.030661	0.27848	-2.066546	-0.36654
Gm10382	1	0.57434	1.0073	0.080559	0.47343	0.3138	0.7836	0.20891	0.36641	0.54696	0.95009	0.71406	0.90644	-0.64089	-0.36543
Gm5447	1	0.102	0.19987	0.80364	0.99117	0.84158	0.95447	-0.2622	-0.51379	0.44174	0.91629	0.6074	0.87016	-0.71366	-0.3642
Rngtt	5	-2.1496	-4.687	0	0	2.77E-06	0.00020594	-2.5135	-5.4583	0	0	4.81E-08	2.03E-05	-0.7713	-0.3639
Ndufaf5	5	-0.75541	-2.5129	0.05559	0.39217	0.011975	0.13087	-1.1165	-3.7118	0.0096589	0.13723	0.00020583	0.0048094	-1.1989	-0.36109
Cox6b1	5	-0.83043	-2.174	0.038327	0.32863	0.029706	0.27159	-1.1906	-3.0999	0.0072441	0.11253	0.0019358	0.028381	-0.9259	-0.36017
Acad9	5	-0.48148	-2.0349	0.20186	0.70569	0.041863	0.35365	-0.84115	-3.55	0.036889	0.32372	0.00038522	0.0077699	-1.5151	-0.35967
Sdhd	5	-0.76101	-2.8014	0.053843	0.38459	0.005088	0.064643	-1.12	-4.1208	0.009402	0.13407	3.78E-05	0.0013313	-1.3194	-0.35899
Coa3	5	-1.1613	-3.2792	0.0077065	0.1183	0.001041	0.017837	-1.5176	-4.2673	0.0011817	0.034328	1.98E-05	0.00086203	-0.9881	-0.3563
Uqcrc2	5	-1.0593	-3.3184	0.013204	0.1726	0.00090535	0.016137	-1.4153	-4.4277	0.0019523	0.045455	9.52E-06	0.0005163	-1.1093	-0.356
Osbpl9	5	-0.82804	-2.5723	0.038841	0.32985	0.010102	0.11385	-1.1808	-3.6594	0.0072441	0.11253	0.00025277	0.0055751	-1.0871	-0.35276
Scgb2b3	1	0.057547	0.27307	0.91662	0.99771	0.7848	0.93892	-0.29396	-1.3949	0.40238	0.89899	0.16304	0.70039	-1.66797	-0.351507
Shmt2	5	0.18346	0.52893	0.1997	0.70397	0.59686	0.87873	-0.16743	-0.48205	0.61683	0.96651	0.62977	0.87713	-1.01098	-0.35089
Olfr844	1	0.37067	0.92245	0.2536	0.76963	0.3563	0.79721	0.019971	0.0497	0.99116	0.99974	0.96036	0.98885	-0.87275	-0.350699
Gm9978	1	-0.41308	-0.93857	0.31129	0.82145	0.34795	0.7938	-0.76365	-1.7351	0.16805	0.66796	0.08272	0.55669	-0.79653	-0.35057
Cyp3a44	1	-0.036046	-0.10642	0.85219	0.99148	0.91525	0.97715	-0.38304	-1.1309	0.32439	0.84547	0.2581	0.74319	-1.02448	-0.346994
Zmpste24	5	0.29644	1.5208	0.0429	0.3501	0.12831	0.66906	-0.048525	-0.24888	0.95576	0.99812	0.80345	0.93882	-1.76968	-0.344965
Olfr297	1	0.29075	1.0166	0.37973	0.86246	0.30934	0.7836	-0.053461	-0.18693	0.81777	0.99168	0.85172	0.95554	-1.20353	-0.344211
Mrfap1	2	0.082016	0.38381	0.73988	0.98126	0.70112	0.91142	-0.26193	-1.2256	0.42751	0.9106	0.22034	0.72877	-1.60941	-0.343946
Olfr1166	1	0.32617	1.1721	0.31992	0.83049	0.24117	0.76214	-0.017416	-0.062584	0.90418	0.99417	0.9501	0.98627	-1.234684	-0.343586
Rab6a	5	-0.76316	-2.655	0.053483	0.38357	0.0079298	0.093316	-1.1047	-3.8335	0.01007	0.1405	0.00012634	0.0033037	-1.1785	-0.34154
Cse1l	5	-2.4871	-4.9773	0	0	6.45E-07	7.85E-05	-2.8264	-5.5885	0	0	2.29E-08	1.29E-05	-0.6112	-0.3393
Aco2	5	-1.393	-3.6744	0.0023633	0.052332	0.00023841	0.0055046	-1.7319	-4.5336	0.00041102	0.016981	5.80E-06	0.00036771	-0.8592	-0.3389
Mgat1	5	-0.85239	-2.8276	0.034834	0.31058	0.0046898	0.060434	-1.1909	-3.927	0.0072441	0.11253	8.60E-05	0.002491	-1.0994	-0.33851
Srp68	5	-0.8375	-2.4842	0.036889	0.32054	0.012984	0.14025	-1.1757	-3.4797	0.007501	0.11478	0.00050189	0.0096232	-0.9955	-0.3382
Abca12	5	0.48515	1.2866	0.0011303	0.030261	0.19824	0.73188	0.15122	0.39985	0.31643	0.83611	0.68927	0.89819	-0.88675	-0.33393
Tapt1	5	0.21003	1.0559	0.14226	0.60301	0.29103	0.78048	-0.12169	-0.61122	0.73001	0.98337	0.54105	0.84419	-1.66712	-0.33172
Osbpl11	5	-0.57526	-2.0988	0.13384	0.59017	0.035831	0.31658	-0.90698	-3.3067	0.026562	0.26674	0.00094395	0.015825	-1.2079	-0.33172
Cox8a	5	-0.42977	-1.8119	0.24661	0.75949	0.070003	0.50485	-0.76104	-3.208	0.054254	0.39491	0.0013366	0.020762	-1.3961	-0.33127
Dnajc15	5	-0.60907	-2.5295	0.1155	0.55873	0.011424	0.12584	-0.93809	-3.8946	0.023633	0.25192	9.84E-05	0.0027513	-1.3651	-0.32902
Romo1	5	-2.2032	-4.9585	0	0	7.10E-07	8.28E-05	-2.5321	-5.6513	0	0	1.59E-08	1.11E-05	-0.6928	-0.3289
Olfr1089	3	0.17324	0.84425	0.35373	0.84882	0.39853	0.81124	-0.15346	-0.74694	0.61745	0.96656	0.4551	0.8055	-1.59119	-0.3267
Upf2	5	-1.7037	-3.5436	0.00051377	0.019455	0.00039476	0.0081566	-2.0301	-4.1921	0	0	2.76E-05	0.0010611	-0.6485	-0.3264
Kat8	5	-2.1565	-3.5891	0	0	0.00033181	0.0070659	-2.4824	-4.094	0	0	4.24E-05	0.0014552	-0.5049	-0.3259
Ndufa2	5	-0.89289	-2.8762	0.028925	0.27871	0.0040247	0.053145	-1.218	-3.9147	0.0059083	0.098375	9.05E-05	0.0025833	-1.0385	-0.32511
Oxct2b	1	-0.22885	-0.37713	0.50005	0.9203	0.70608	0.9127	-0.55334	-0.91185	0.22693	0.74641	0.36185	0.76927	-0.53472	-0.32449
Gm10840	3	0.18603	0.70609	0.31895	0.82972	0.48013	0.84085	-0.13591	-0.51573	0.6531	0.97551	0.60604	0.86966	-1.22182	-0.32194
Hist1h2af	2	0.24689	1.141	0.29326	0.80713	0.25386	0.76406	-0.074802	-0.34562	0.77934	0.98769	0.72963	0.91123	-1.48662	-0.321692
Gm9821	1	0.041806	0.080319	0.95787	0.99926	0.93598	0.98264	-0.27951	-0.53701	0.41995	0.90574	0.59126	0.86237	-0.617329	-0.321316
Upf1	5	-0.82896	-2.518	0.038533	0.32866	0.011803	0.12957	-1.1495	-3.4797	0.0083231	0.12301	0.000502	0.0096232	-0.9617	-0.32054
Ndufa9	5	-0.46586	-1.9625	0.21589	0.72256	0.049706	0.40011	-0.78582	-3.3032	0.048294	0.37822	0.00095598	0.016013	-1.3407	-0.31996
Vmn2r87	2	-0.07091	-0.32654	0.80204	0.99117	0.74402	0.92644	-0.39012	-1.7948	0.30811	0.83003	0.072693	0.51904	-1.46826	-0.31921
Ndufa8	5	-0.40347	-1.6638	0.2724	0.78875	0.096155	0.60082	-0.72182	-2.9699	0.06643	0.43651	0.0029787	0.040318	-1.3061	-0.31835
Stt3b	5	-0.14914	-0.97776	0.66903	0.97172	0.3282	0.78663	-0.46683	-3.0594	0.20967	0.72266	0.0022178	0.031765	-2.08164	-0.31769
Gm5595	1	0.13825	0.5871	0.71481	0.97826	0.55714	0.86392	-0.17892	-0.75986	0.56545	0.95538	0.44734	0.80122	-1.34696	-0.31717
Ndufa11	5	-0.41057	-1.9263	0.2651	0.78241	0.054065	0.42313	-0.72702	-3.4089	0.064375	0.42926	0.00065216	0.011699	-1.4826	-0.31645
Olfr44	1	0.13689	0.72275	0.71851	0.97826	0.46983	0.83634	-0.17765	-0.938	0.5673	0.95643	0.34825	0.76458	-1.66075	-0.31454
Armc7	5	-1.6964	-4.5764	0.00051377	0.019455	4.73E-06	0.00029708	-2.0094	-5.4068	0	0	6.42E-08	2.45E-05	-0.8304	-0.313
Pgam1	5	-1.704	-3.7834	0.00051377	0.019455	0.00015468	0.0038948	-2.017	-4.4032	0	0	1.07E-05	0.0005634	-0.6198	-0.313
Iqcj	2	0.012957	0.046827	0.95422	0.99926	0.96265	0.98954	-0.29923	-1.0815	0.38528	0.88568	0.27949	0.74728	-1.128327	-0.312187
Gm10604	5	0.22141	1.204	0.12443	0.5719	0.22858	0.75606	-0.09031	-0.49082	0.8192	0.99168	0.62355	0.87523	-1.69482	-0.31172
Gzmd	2	-0.086428	-0.33611	0.76238	0.98542	0.73679	0.92348	-0.39793	-1.543	0.30323	0.82644	0.12282	0.65737	-1.20689	-0.311502
Dpm1	5	-0.46458	-1.6629	0.21676	0.72355	0.096327	0.60147	-0.77575	-2.7651	0.050658	0.38306	0.0056913	0.067753	-1.1022	-0.31117
2310050C09Rik	5	0.28406	2.2348	0.051017	0.37771	0.025433	0.23915	-0.026425	-0.20777	0.96707	0.99816	0.83541	0.95035	-2.44257	-0.310485
Cog3	5	-0.92855	-3.0735	0.024764	0.25597	0.0021158	0.031581	-1.238	-4.0927	0.0053946	0.093085	4.26E-05	0.0014612	-1.0192	-0.30945
Il22	1	0.30792	0.97531	0.35096	0.84689	0.32941	0.78663	-0.00074068	-0.0023461	0.9439	0.99687	0.99813	0.99965	-0.9776561	-0.30866068
Grpel1	5	-1.5392	-3.8268	0.00092478	0.025788	0.00012983	0.0034011	-1.8476	-4.5715	0.00010275	0.0053476	4.84E-06	0.00032323	-0.7447	-0.3084
Ube2n	5	-0.86329	-2.8558	0.033446	0.30293	0.0042929	0.056154	-1.1706	-3.8699	0.0077065	0.117	0.00010888	0.0029363	-1.0141	-0.30731
Glrx5	5	-1.4942	-3.6477	0.0012844	0.033693	0.00026463	0.0060032	-1.8014	-4.3628	0.00020551	0.0099256	1.28E-05	0.0006492	-0.7151	-0.3072
Foxred1	5	-0.81418	-3.0901	0.041153	0.34012	0.0020008	0.030141	-1.1201	-4.2331	0.009402	0.13407	2.30E-05	0.00094437	-1.143	-0.30592
Stt3a	5	-0.75112	-2.824	0.056771	0.39705	0.0047421	0.061045	-1.0568	-3.9704	0.013307	0.17118	7.18E-05	0.0021632	-1.1464	-0.30568
Gm9994	2	0.057633	0.22342	0.81515	0.99117	0.82321	0.95035	-0.24621	-0.95435	0.44729	0.92015	0.3399	0.76188	-1.17777	-0.303843
Pold3	5	-2.0447	-4.6667	0	0	3.06E-06	0.00021729	-2.3473	-5.3205	0	0	1.03E-07	3.15E-05	-0.6538	-0.3026
Olfr657	2	0.46494	0.96592	0.045109	0.35808	0.33409	0.78808	0.16313	0.3389	0.51618	0.9395	0.73469	0.91327	-0.62702	-0.30181
Coa7	5	-1.6169	-4.2346	0.0006679	0.021959	2.29E-05	0.00091009	-1.9182	-5.003	0	0	5.65E-07	8.97E-05	-0.7684	-0.3013
Hibch	5	-0.0072504	-0.044641	0.87223	0.99329	0.96439	0.98963	-0.30735	-1.8914	0.37849	0.88316	0.058577	0.45361	-1.846759	-0.3000996
Pik3ca	5	-1.2494	-3.3053	0.0047781	0.084854	0.00094862	0.016589	-1.548	-4.0913	0.0010789	0.032609	4.29E-05	0.0014673	-0.786	-0.2986
Best3	5	0.18363	0.91401	0.19903	0.70292	0.36071	0.79829	-0.11432	-0.56708	0.75103	0.98597	0.57066	0.85283	-1.48109	-0.29795
Itgav	5	-1.4153	-3.9006	0.0022092	0.050351	9.60E-05	0.0026961	-1.7128	-4.714	0.00046239	0.016981	2.43E-06	0.00020465	-0.8134	-0.2975
Atp5a1	5	-1.3873	-3.166	0.0024147	0.053348	0.0015456	0.024497	-1.6841	-3.8349	0.00046239	0.016981	0.00012561	0.0032949	-0.6689	-0.2968
Plk1	5	-1.8221	-3.9584	0.00025688	0.012048	7.54E-05	0.0022342	-2.118	-4.5506	0	0	5.35E-06	0.00035175	-0.5922	-0.2959
Vmn2r86	1	0.13347	0.47534	0.72775	0.97886	0.63455	0.89249	-0.16219	-0.57762	0.59458	0.96243	0.56352	0.85113	-1.05296	-0.29566
Tefm	5	-0.95415	-2.2232	0.02163	0.23506	0.026204	0.24521	-1.249	-2.9021	0.0050863	0.089189	0.0037065	0.047748	-0.6789	-0.29485
Eef1a1	4	-2.9398	-5.2967	0	0	1.18E-07	2.58E-05	-3.2346	-5.8191	0	0	5.92E-09	6.06E-06	-0.5224	-0.2948
